0SENTENCE,1TRANSLATION,2TAGS,3LEARNED,4ATTEMPTS,5SUCCESFUL ATTEMPS,6DAY LAST ATTEMPT,7LAST ATTEMPT RESULT,8DAY TO REVIEW,9ATTEMPT STREAK,10ID,DECK11,LEVEL12,IGNORE13,LANGUAGE14
быть,to be,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,1,Russian Verbs,Level1,no,ru
сказать,to say; to tell; to speak,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,2,Russian Verbs,Level1,no,ru
мочь,to be able,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,3,Russian Verbs,Level1,no,ru
говорить,to say; to tell; to speak,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,4,Russian Verbs,Level1,no,ru
знать,to know,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,5,Russian Verbs,Level1,no,ru
стать,to become; to begin; to stand,perfective,yes,7,5,24/2/2018,success,1/4/2018,4,6,Russian Verbs,Level1,no,ru
есть,to eat,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,7,Russian Verbs,Level1,no,ru
хотеть,to want,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,8,Russian Verbs,Level1,no,ru
видеть,to see,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,9,Russian Verbs,Level1,no,ru
идти,to go (on foot),imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,10,Russian Verbs,Level1,no,ru
стоять,to stand,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,11,Russian Verbs,Level1,no,ru
думать,to think; to believe,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,12,Russian Verbs,Level1,no,ru
спросить,to ask; to inquire,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,13,Russian Verbs,Level1,no,ru
жить,to live,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,14,Russian Verbs,Level1,no,ru
смотреть,to look; to watch,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,15,Russian Verbs,Level1,no,ru
сидеть,to sit; to stay,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,16,Russian Verbs,Level1,no,ru
понять,to understand; to realize,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,17,Russian Verbs,Level1,no,ru
иметь,to own; to have,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,18,Russian Verbs,Level1,no,ru
делать,to do; to make,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,19,Russian Verbs,Level1,no,ru
взять,to take,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,20,Russian Verbs,Level1,no,ru
сделать,to do; to make; to finish,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,21,Russian Verbs,Level1,no,ru
понимать,to understand,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,22,Russian Verbs,Level1,no,ru
казаться,to seem,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,23,Russian Verbs,Level1,no,ru
давать,to give,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,24,Russian Verbs,Level1,no,ru
пойти,to go,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,25,Russian Verbs,Level1,no,ru
увидеть,to see,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,26,Russian Verbs,Level2,no,ru
остаться,to remain; to stay,perfective,yes,5,4,30/1/2018,success,11/3/2018,4,27,Russian Verbs,Level2,no,ru
выйти,to go out; to come out; to exit,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,28,Russian Verbs,Level2,no,ru
дать,to give,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,29,Russian Verbs,Level2,no,ru
работать,to work,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,30,Russian Verbs,Level2,no,ru
любить,to love,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,31,Russian Verbs,Level2,no,ru
оказаться,to find oneself; to turn out,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,32,Russian Verbs,Level2,no,ru
ответить,to answer; to reply,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,33,Russian Verbs,Level2,no,ru
подумать,to think,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,34,Russian Verbs,Level2,no,ru
значить,to mean; to signify,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,35,Russian Verbs,Level2,no,ru
посмотреть,to take a look; to watch; to inspect,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,36,Russian Verbs,Level2,no,ru
ждать,to wait,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,37,Russian Verbs,Level2,no,ru
лежать,to lie; be situated,imperfective,yes,6,5,18/2/2018,success,14/3/2018,3,38,Russian Verbs,Level2,no,ru
найти,to find; to discover,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,39,Russian Verbs,Level2,no,ru
писать,to write,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,40,Russian Verbs,Level2,no,ru
вернуться,to return,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,41,Russian Verbs,Level2,no,ru
считать,to count; to consider,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,42,Russian Verbs,Level2,no,ru
помнить,to remember,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,43,Russian Verbs,Level2,no,ru
получить,to receive; to get; to obtain,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,44,Russian Verbs,Level2,no,ru
ходить,to go; to walk,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,45,Russian Verbs,Level2,no,ru
прийти,to come; to arrive (on foot),perfective,yes,4,4,1/2/2018,success,24/3/2018,4,46,Russian Verbs,Level2,no,ru
узнать,to know; to learn; to recognize,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,47,Russian Verbs,Level2,no,ru
заметить,to notice; to observe,perfective,yes,5,4,30/1/2018,success,11/3/2018,4,48,Russian Verbs,Level2,no,ru
решить,to decide; to solve,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,49,Russian Verbs,Level2,no,ru
бывать,to be; to be present; to happen,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,50,Russian Verbs,Level2,no,ru
уйти,to leave; to go away,perfective,yes,4,4,1/2/2018,success,24/3/2018,4,51,Russian Verbs,Level3,no,ru
слышать,to hear,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,52,Russian Verbs,Level3,no,ru
слушать,to listen,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,53,Russian Verbs,Level3,no,ru
бояться,to be afraid; to fear,imperfective,yes,4,4,1/2/2018,success,24/3/2018,4,54,Russian Verbs,Level3,no,ru
глядеть,to look; to gaze,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,55,Russian Verbs,Level3,no,ru
сесть,to sit,perfective,yes,6,5,19/2/2018,success,15/3/2018,3,56,Russian Verbs,Level3,no,ru
читать,to read,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,57,Russian Verbs,Level3,no,ru
оставаться,to remain; to stay,imperfective,yes,6,4,18/2/2018,fail,19/2/2018,1,58,Russian Verbs,Level3,no,ru
брать,to take; to hire,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,59,Russian Verbs,Level3,no,ru
написать,to write,perfective,yes,5,4,30/1/2018,success,11/3/2018,4,60,Russian Verbs,Level3,no,ru
начинать,to begin; to start,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,61,Russian Verbs,Level3,no,ru
чувствовать,to feel,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,62,Russian Verbs,Level3,no,ru
вести,to lead,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,63,Russian Verbs,Level3,no,ru
успеть,to be in time; to be successful,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,64,Russian Verbs,Level3,no,ru
продолжать,to continue,imperfective,yes,6,5,19/2/2018,success,15/3/2018,3,65,Russian Verbs,Level3,no,ru
забыть,to forget,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,66,Russian Verbs,Level3,no,ru
пройти,to pass; to go by; to be over,perfective,yes,6,5,18/2/2018,success,1/4/2018,4,67,Russian Verbs,Level3,no,ru
появиться,to appear; to show up,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,68,Russian Verbs,Level3,no,ru
выходить,to go out; to withdraw,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,69,Russian Verbs,Level3,no,ru
просить,to ask; to beg,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,70,Russian Verbs,Level3,no,ru
пытаться,to try,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,71,Russian Verbs,Level3,no,ru
показать,to show; to display,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,72,Russian Verbs,Level3,no,ru
вспомнить,to remember; to recall,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,73,Russian Verbs,Level3,no,ru
держать,to hold; to keep,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,74,Russian Verbs,Level3,no,ru
называть,to call; to name,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,75,Russian Verbs,Level3,no,ru
уходить,to leave; to go away,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,76,Russian Verbs,Level4,no,ru
подойти,to approach; to come up,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,77,Russian Verbs,Level4,no,ru
поднять,to lift; to raise,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,78,Russian Verbs,Level4,no,ru
спрашивать,to ask; to inquire,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,79,Russian Verbs,Level4,no,ru
бросить,to throw,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,80,Russian Verbs,Level4,no,ru
послать,to send; to dispatch,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,81,Russian Verbs,Level4,no,ru
находиться,to be found; to turn up; to be located,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,82,Russian Verbs,Level4,no,ru
поставить,to put; to place; to set,perfective,yes,6,4,19/2/2018,fail,20/2/2018,1,83,Russian Verbs,Level4,no,ru
встать,to get up; to rise; to stand up,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,84,Russian Verbs,Level4,no,ru
играть,to play,imperfective,yes,5,4,30/1/2018,success,11/3/2018,4,85,Russian Verbs,Level4,no,ru
следовать,to follow; to come next,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,86,Russian Verbs,Level4,no,ru
рассказать,to tell; to narrate,perfective,yes,5,4,30/1/2018,success,11/3/2018,4,87,Russian Verbs,Level4,no,ru
спать,to sleep,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,88,Russian Verbs,Level4,no,ru
оставить,to leave; to abandon,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,89,Russian Verbs,Level4,no,ru
войти,to enter; to come in,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,90,Russian Verbs,Level4,no,ru
молчать,to keep silence; to keep silent,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,91,Russian Verbs,Level4,no,ru
рассказывать,to tell; to narrate,imperfective,yes,5,4,30/1/2018,success,11/3/2018,4,92,Russian Verbs,Level4,no,ru
отвечать,to answer; to reply,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,93,Russian Verbs,Level4,no,ru
становиться,to stand; to become,imperfective,yes,5,4,30/1/2018,success,11/3/2018,4,94,Russian Verbs,Level4,no,ru
остановиться,to stop,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,95,Russian Verbs,Level4,no,ru
искать,to search,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,96,Russian Verbs,Level4,no,ru
начать,to begin,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,97,Russian Verbs,Level4,no,ru
верить,to believe,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,98,Russian Verbs,Level4,no,ru
являться,to appear,imperfective,yes,5,4,21/1/2018,success,17/2/2018,3,99,Russian Verbs,Level4,no,ru
смочь,to be able,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,100,Russian Verbs,Level4,no,ru
бежать,to run; to hurry,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,101,Russian Verbs,Level5,no,ru
приехать,to come; to arrive (by vehicle),perfective,yes,4,4,2/2/2018,success,25/3/2018,4,102,Russian Verbs,Level5,no,ru
кричать,to cry; to shout,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,103,Russian Verbs,Level5,no,ru
открыть,to open,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,104,Russian Verbs,Level5,no,ru
происходить,to happen; to occur; to take place,imperfective,yes,5,4,21/1/2018,success,17/2/2018,3,105,Russian Verbs,Level5,no,ru
ехать,to go; to ride; to drive,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,106,Russian Verbs,Level5,no,ru
приходить,to come; to arrive (on foot),imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,107,Russian Verbs,Level5,no,ru
подняться,to rise; to climb,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,108,Russian Verbs,Level5,no,ru
показаться,to appear; to come in sight,perfective,yes,6,5,19/2/2018,success,15/3/2018,3,109,Russian Verbs,Level5,no,ru
собираться,to gather together; to assemble; to intend,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,110,Russian Verbs,Level5,no,ru
попасть,to hit (a target); get (into); to find oneself,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,111,Russian Verbs,Level5,no,ru
принять,to take; to admit; to accept,perfective,yes,5,4,30/1/2018,success,11/3/2018,4,112,Russian Verbs,Level5,no,ru
поехать,to depart; to set off,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,113,Russian Verbs,Level5,no,ru
услышать,to hear,perfective,yes,5,4,21/1/2018,success,17/2/2018,3,114,Russian Verbs,Level5,no,ru
уметь,to be able; to know; can,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,115,Russian Verbs,Level5,no,ru
случиться,to happen; to come to pass,perfective,yes,5,4,30/1/2018,success,11/3/2018,4,116,Russian Verbs,Level5,no,ru
стараться,to try; to endeavor,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,117,Russian Verbs,Level5,no,ru
звать,to call,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,118,Russian Verbs,Level5,no,ru
произойти,to happen; to occur; to take place,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,119,Russian Verbs,Level5,no,ru
заниматься,to be occupied; to engage,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,120,Russian Verbs,Level5,no,ru
положить,to lay down; to put down; to place,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,121,Russian Verbs,Level5,no,ru
купить,to buy; to purchase,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,122,Russian Verbs,Level5,no,ru
умереть,to die,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,123,Russian Verbs,Level5,no,ru
пить,to drink; to drink up; to have a drink,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,124,Russian Verbs,Level5,no,ru
проходить,to pass; to walk past; to go,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,125,Russian Verbs,Level5,no,ru
снять,to take away; to take off; to photograph,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,126,Russian Verbs,Level6,no,ru
начаться,to begin; to start; to set in,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,127,Russian Verbs,Level6,no,ru
представлять,to present; to introduce; to imagine,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,128,Russian Verbs,Level6,no,ru
объяснить,to explain,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,129,Russian Verbs,Level6,no,ru
произнести,to pronounce; to say; to utter,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,130,Russian Verbs,Level6,no,ru
нравиться,to please; to like,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,131,Russian Verbs,Level6,no,ru
существовать,to exist; to be,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,132,Russian Verbs,Level6,no,ru
удаться,to turn out well; to succeed; to manage,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,133,Russian Verbs,Level6,no,ru
прийтись,to fit; to fall; have to,none,yes,4,4,2/2/2018,success,25/3/2018,4,134,Russian Verbs,Level6,no,ru
представить,to present; to produce; to introduce,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,135,Russian Verbs,Level6,no,ru
назвать,to call; to name,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,136,Russian Verbs,Level6,no,ru
улыбаться,to smile,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,137,Russian Verbs,Level6,no,ru
улыбнуться,to smile,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,138,Russian Verbs,Level6,no,ru
смеяться,to laugh,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,139,Russian Verbs,Level6,no,ru
хватать,to snatch; to seize; be sufficient,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,140,Russian Verbs,Level6,no,ru
почувствовать,to feel,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,141,Russian Verbs,Level6,no,ru
принести,to bring; to fetch; to carry,perfective,yes,5,4,21/1/2018,success,17/2/2018,3,142,Russian Verbs,Level6,no,ru
согласиться,to agree; to consent,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,143,Russian Verbs,Level6,no,ru
хватить,to snatch; to seize; to suffice,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,144,Russian Verbs,Level6,no,ru
принимать,to take; to admit; to accept,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,145,Russian Verbs,Level6,no,ru
убить,to kill,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,146,Russian Verbs,Level6,no,ru
предложить,to offer; to propose; to suggest,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,147,Russian Verbs,Level6,no,ru
приходиться,to fit; to fall; have to,imperfective,yes,5,4,1/2/2018,success,13/3/2018,4,148,Russian Verbs,Level6,no,ru
выпить,to drinkcommaChar drink up (watercommaChar tea); to drinkcommaChar consume alcohol; [imp.] to abuse alcohol,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,149,Russian Verbs,Level6,no,ru
крикнуть,to cry; to shout,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,150,Russian Verbs,Level6,no,ru
показывать,to show; to display,imperfective,yes,7,5,1/2/2018,success,21/2/2018,3,151,Russian Verbs,Level7,no,ru
вызвать,to call; to send; to challenge; to summon; to cause,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,152,Russian Verbs,Level7,no,ru
попросить,to ask; to beg; to request,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,153,Russian Verbs,Level7,no,ru
оказываться,to turn out; to find oneself,imperfective,yes,1,1,13/12/2017,success,16/12/2017,1,154,Russian Verbs,Level7,yes,ru
привести,to take; to lead; to set,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,155,Russian Verbs,Level7,no,ru
возвращаться,to return,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,156,Russian Verbs,Level7,no,ru
требовать,to demand,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,157,Russian Verbs,Level7,no,ru
потерять,to lose,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,158,Russian Verbs,Level7,no,ru
достать,to reach; to get; to obtain,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,159,Russian Verbs,Level7,no,ru
сообщить,to report; to let know,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,160,Russian Verbs,Level7,no,ru
появляться,to appear; to show up,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,161,Russian Verbs,Level7,no,ru
упасть,to fall; to drop,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,162,Russian Verbs,Level7,no,ru
получиться,to come out; to arrive; to turn out,perfective,yes,5,4,22/1/2018,success,14/2/2018,3,163,Russian Verbs,Level7,no,ru
провести,to accompany; to set off; to conduct; to spend,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,164,Russian Verbs,Level7,no,ru
простить,to forgive,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,165,Russian Verbs,Level7,no,ru
бить,to beat; to hit,imperfective,yes,4,4,2/2/2018,success,25/3/2018,4,166,Russian Verbs,Level7,no,ru
кивнуть,to nod,perfective,yes,4,4,2/2/2018,success,25/3/2018,4,167,Russian Verbs,Level7,no,ru
исчезнуть,to disappear; to vanish,perfective,yes,6,5,24/2/2018,success,20/3/2018,3,168,Russian Verbs,Level7,no,ru
отдать,to return; to give back,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,169,Russian Verbs,Level7,no,ru
помочь,to help,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,170,Russian Verbs,Level7,no,ru
слать,to send,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,171,Russian Verbs,Level7,no,ru
вспоминать,to remember; to recall,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,172,Russian Verbs,Level7,no,ru
вздохнуть,to take a breath; to sigh,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,173,Russian Verbs,Level7,no,ru
петь,to sing,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,174,Russian Verbs,Level7,no,ru
садиться,to sit down,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,175,Russian Verbs,Level7,no,ru
перестать,to stop; to cease,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,176,Russian Verbs,Level8,no,ru
пожаловать,to grant; to bestow,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,177,Russian Verbs,Level8,no,ru
получать,to receive; to get,imperfective,yes,5,4,1/2/2018,success,13/3/2018,4,178,Russian Verbs,Level8,no,ru
называться,to call oneself,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,179,Russian Verbs,Level8,no,ru
надеяться,to hope,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,180,Russian Verbs,Level8,no,ru
протянуть,to stretch; to extend,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,181,Russian Verbs,Level8,no,ru
подходить,to come up; to approach; to fit,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,182,Russian Verbs,Level8,no,ru
служить,to serve,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,183,Russian Verbs,Level8,no,ru
поверить,to believe,perfective,yes,4,4,4/2/2018,success,27/3/2018,4,184,Russian Verbs,Level8,no,ru
взглянуть,to look; to give a glance,perfective,yes,5,4,22/1/2018,success,14/2/2018,3,185,Russian Verbs,Level8,no,ru
вызывать,to call; to send; to challenge; to summon; to cause,imperfective,yes,4,4,4/2/2018,success,27/3/2018,4,186,Russian Verbs,Level8,no,ru
ожидать,to expect; to anticipate,imperfective,yes,4,4,4/2/2018,success,27/3/2018,4,187,Russian Verbs,Level8,no,ru
висеть,to hang,imperfective,yes,4,4,4/2/2018,success,27/3/2018,4,188,Russian Verbs,Level8,no,ru
создать,to create; to establish,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,189,Russian Verbs,Level8,no,ru
уехать,to leave; to depart,perfective,yes,4,4,4/2/2018,success,27/3/2018,4,190,Russian Verbs,Level8,no,ru
выглядеть,to look,imperfective,yes,10,5,18/2/2018,fail,19/2/2018,1,191,Russian Verbs,Level8,no,ru
учиться,to study; to learn,imperfective,yes,4,4,4/2/2018,success,27/3/2018,4,192,Russian Verbs,Level8,no,ru
разговаривать,to talk; to speak; to converse,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,193,Russian Verbs,Level8,no,ru
помогать,to help; to assist,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,194,Russian Verbs,Level8,no,ru
повернуться,to turn,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,195,Russian Verbs,Level8,no,ru
позволить,to allow; to permit; to let,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,196,Russian Verbs,Level8,no,ru
встретить,to meet,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,197,Russian Verbs,Level8,no,ru
входить,to enter; to come in,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,198,Russian Verbs,Level8,no,ru
обнаружить,to show; to display; bring to light; to discover; to find out,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,199,Russian Verbs,Level8,no,ru
нести,to carry,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,200,Russian Verbs,Level9,no,ru
прислать,to send,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,201,Russian Verbs,Level9,no,ru
относиться,to treat; to regard; to relate,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,202,Russian Verbs,Level9,no,ru
возникать,to arise; to appear,imperfective,yes,6,4,24/2/2018,fail,25/2/2018,1,203,Russian Verbs,Level9,no,ru
повторить,to repeat,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,204,Russian Verbs,Level9,no,ru
погибнуть,to perish; to be killed,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,205,Russian Verbs,Level9,no,ru
гореть,to burn,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,206,Russian Verbs,Level9,no,ru
плакать,to cry,imperfective,yes,5,4,1/2/2018,success,13/3/2018,4,207,Russian Verbs,Level9,no,ru
двигаться,to move,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,208,Russian Verbs,Level9,no,ru
добавить,to add,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,209,Russian Verbs,Level9,no,ru
удивиться,to wonder; to be surprised,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,210,Russian Verbs,Level9,no,ru
действовать,to act,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,211,Russian Verbs,Level9,no,ru
держаться,to hold on; to behave,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,212,Russian Verbs,Level9,no,ru
лететь,to fly,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,213,Russian Verbs,Level9,no,ru
носить,to wear,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,214,Russian Verbs,Level9,no,ru
привыкнуть,to get used to; to grow accustomed to,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,215,Russian Verbs,Level9,no,ru
позвонить,to call; to telephone,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,216,Russian Verbs,Level9,no,ru
мешать,to interfere; to prevent; to mix,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,217,Russian Verbs,Level9,no,ru
возникнуть,to arise; to spring up,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,218,Russian Verbs,Level9,no,ru
желать,to wish,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,219,Russian Verbs,Level9,no,ru
попробовать,to try; to taste,perfective,yes,5,4,1/2/2018,success,13/3/2018,4,220,Russian Verbs,Level9,no,ru
получаться,to come out; to get the hang of,imperfective,yes,5,4,1/2/2018,success,13/3/2018,4,221,Russian Verbs,Level9,no,ru
ставить,to put; to place; to set,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,222,Russian Verbs,Level9,no,ru
проводить,to lead; to escort; to accompany,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,223,Russian Verbs,Level9,no,ru
обещать,to promise,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,224,Russian Verbs,Level9,no,ru
судить,to judge; to try,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,225,Russian Verbs,Level10,no,ru
собраться,to gather; to collect,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,226,Russian Verbs,Level10,no,ru
колоть,to prick; to poke; to stab,imperfective,yes,4,4,3/2/2018,success,26/3/2018,4,227,Russian Verbs,Level10,no,ru
закричать,to begin to shout; to give a shout; to cry out; to shout out,perfective,yes,4,4,3/2/2018,success,26/3/2018,4,228,Russian Verbs,Level10,no,ru
